ENSG00000126903	ENSG00000160219	ENSG00000071889	ENSG00000185973	ENSG00000130830	ENSG00000102178	ENSG00000102125	ENSG00000269335	ENSG00000160211	ENSG00000165775	ENSG00000177854	ENSG00000203879	ENSG00000102119	ENSG00000102032	ENSG00000172534	ENSG00000184216	ENSG00000169057	ENSG00000182484	ENSG00000071859	ENSG00000196976	ENSG00000185010	ENSG00000131002	ENSG00000197180	ENSG00000277203	ENSG00000155962	ENSG00000278212	ENSG00000071553	ENSG00000013563	ENSG00000260197	ENSG00000168939	ENSG00000130827	ENSG00000012817	ENSG00000210144	ENSG00000130826	ENSG00000210140	ENSG00000165246	ENSG00000114374	ENSG00000092377	ENSG00000099725	ENSG00000155959	ENSG00000176728	ENSG00000198692	ENSG00000273906	ENSG00000183878	ENSG00000067048	ENSG00000124333	ENSG00000067646	ENSG00000185515	ENSG00000155961	ENSG00000210196	ENSG00000280195	condition
838	193	1228	70	829	911	1005	42	697	2010	398	4157	1951	98	1910	1785	1987	177	998	383	415	5775	92	165	194	326	6808	515	123	169	1919	2516	622	1750	576	181	652	118	861	1041	727	931	232	856	2890	1397	427	992	192	519	161	1
296	53	699	25	451	622	643	53	496	850	194	2766	1021	24	1616	1534	1261	113	983	177	139	2858	80	98	39	150	5104	241	34	29	1576	1767	133	1134	228	150	1724	81	319	683	445	421	198	418	1434	596	222	468	143	152	54	1
630	97	1168	57	582	684	693	52	663	1280	234	3655	1714	85	1724	1923	1559	74	1171	357	191	2123	116	62	71	112	5272	329	33	27	1668	1742	1107	1221	655	182	4033	80	585	529	418	379	149	796	1255	383	308	428	95	367	56	1
592	170	905	104	710	533	684	27	426	1171	220	3284	1790	74	1756	893	2675	165	645	238	431	2140	64	42	86	170	3409	249	55	87	1696	2097	666	736	852	290	2135	93	564	569	556	422	154	764	2279	494	302	419	63	391	52	1
472	105	1466	23	373	1092	879	33	558	1406	351	2738	1524	153	1290	2881	939	159	2768	543	241	2558	157	98	110	19	3679	319	61	17	1239	1489	538	1348	511	134	1178	51	333	816	306	651	208	379	1250	556	146	375	132	600	75	1
223	120	342	61	304	167	371	3	123	605	101	1010	827	18	486	237	581	53	180	133	152	1781	72	13	116	93	1821	69	79	54	334	428	490	256	672	195	1004	18	756	493	284	367	117	466	1268	449	205	272	42	440	14	1
286	74	537	53	278	410	416	29	352	663	148	1704	728	43	1032	1044	871	109	633	163	130	1136	67	78	70	85	2652	142	80	36	999	1056	252	610	105	145	959	38	527	433	245	319	203	395	1121	427	208	286	35	83	50	1
181	81	355	33	295	281	314	24	195	572	90	1390	498	15	595	612	739	79	460	97	250	1234	44	39	74	38	1597	63	51	53	612	829	153	474	144	172	781	18	416	419	256	335	126	328	1154	416	160	277	28	181	12	1
146	41	442	6	174	357	450	38	292	374	79	1581	558	23	829	893	464	130	787	158	73	1892	39	52	32	63	1621	173	15	7	1279	1013	92	705	122	75	702	48	103	304	187	185	128	197	658	271	81	239	102	114	20	1
302	66	787	5	272	612	813	46	586	642	139	2548	942	35	1410	1607	834	196	1203	264	120	2820	66	98	58	108	2623	258	26	11	2156	1524	130	1092	214	116	1180	87	172	430	304	372	204	332	935	421	127	455	143	225	28	1
